product_name,product_model,spec_name,spec_value,spec_unit
Mechanical Press Brake,APBM-2030,Shut Height,375,mm
Mechanical Press Brake,APBM-2030,Thrust Depth,280,mm
Mechanical Press Brake,APBM-2030,Stroke/Minute,25,SPM
Mechanical Press Brake,APBM-2030,Ram Adjust Mode,2,HP
Mechanical Press Brake,APBM-2030,Main Motor,25,HP
Mechanical Press Brake,APBM-2040,Tonnage,200,TON
Mechanical Press Brake,APBM-2040,Table Length,4000,mm
Mechanical Press Brake,APBM-2040,Bending Dimensions,4000x6,kg/mm2
Mechanical Press Brake,APBM-2040,Table Width,250,mm
Mechanical Press Brake,APBM-2040,Clearing Between Housing,1220,mm
Mechanical Press Brake,APBM-2040,Ram Stroke,110,mm
Mechanical Press Brake,APBM-2040,Ram Adjust,75,mm
Mechanical Press Brake,APBM-2040,Shut Height,375,mm
Mechanical Press Brake,APBM-2040,Thrust Depth,280,mm
Mechanical Press Brake,APBM-2040,Stroke/Minute,25,SPM
Mechanical Press Brake,APBM-2040,Ram Adjust Mode,3,HP
Mechanical Press Brake,APBM-2040,Main Motor,30,HP
Mechanical Press Brake,APBM-2050,Tonnage,200,TON
Mechanical Press Brake,APBM-2050,Table Length,5000,mm
Mechanical Press Brake,APBM-2050,Bending Dimensions,5000x5,kg/mm2
Mechanical Press Brake,APBM-2050,Table Width,250,mm
Mechanical Press Brake,APBM-2050,Clearing Between Housing,1220,mm
Mechanical Press Brake,APBM-2050,Ram Stroke,110,mm
Mechanical Press Brake,APBM-2050,Ram Adjust,75,mm
Mechanical Press Brake,APBM-2050,Shut Height,375,mm
Mechanical Press Brake,APBM-2050,Thrust Depth,280,mm
Mechanical Press Brake,APBM-2050,Stroke/Minute,25,SPM
Mechanical Press Brake,APBM-2050,Ram Adjust Mode,3,HP
Mechanical Press Brake,APBM-2050,Main Motor,30,HP
Mechanical Press Brake,APBM-2060,Tonnage,200,TON
Mechanical Press Brake,APBM-2060,Table Length,6000,mm
Mechanical Press Brake,APBM-2060,Bending Dimensions,6000x4,kg/mm2
Mechanical Press Brake,APBM-2060,Table Width,250,mm
Mechanical Press Brake,APBM-2060,Clearing Between Housing,1700,mm
Mechanical Press Brake,APBM-2060,Ram Stroke,110,mm
Mechanical Press Brake,APBM-2060,Ram Adjust,75,mm
Mechanical Press Brake,APBM-2060,Shut Height,375,mm
Mechanical Press Brake,APBM-2060,Thrust Depth,280,mm
Mechanical Press Brake,APBM-2060,Stroke/Minute,25,SPM
Mechanical Press Brake,APBM-2060,Ram Adjust Mode,3,HP
Mechanical Press Brake,APBM-2060,Main Motor,30,HP
